ε Scl,014538.8,-250309,5.31
     ,014605.8,-504859,5.49
     ,014606.3,-533119,5.04
χ Cet,014935.1,-104111,4.67
ζ Cet,015127.6,-102006,3.73
ε Cas,015423.7,+634012,3.38
  And,015317.3,+404347,5.40
α Tri,015304.9,+293444,3.41
γ1Ari,015331.8,+191745,4.83
γ2Ari,015331.8,+191737,4.75
ω Cas,015600.0,+684107,4.99
ξ Psc,015333.3,+031115,4.62
β Ari,015438.4,+204829,2.64
ψ Phe,015338.8,-461809,4.41
φ Phe,015422.0,-422949,5.11
ι Ari,015721.1,+174903,5.10
  Cet,015640.2,-223137,4.85
χ Eri,015557.5,-513632,3.70
     ,015938.0,+643717,5.26
λ Ari,015755.7,+233546,4.79
η2Hyi,015456.1,-673850,4.69
     ,015710.0,-472306,4.83
  Cas,020157.4,+705425,4.54
  Cas,020326.1,+722517,3.98
  Cas,020507.4,+771653,5.38
  Cet,015946.1,-204928,5.41
υ Cet,020000.3,-210440,4.00
  Per,020218.1,+542915,5.04
α Hyi,015846.2,-613411,2.86
  Cas,020531.2,+760654,5.22
π For,020114.7,-300006,5.35
α Psc,020202.8,+024549,5.23
α Psc,020202.8,+024549,4.33
ε Tri,020258.0,+331702,5.50
χ Phe,020142.4,-444249,5.14
γ1And,020354.0,+421947,2.26
γ2And,020354.7,+421951,4.84
  Cet,020311.7,+000742,5.43
ν For,020429.4,-291749,4.69
κ Ari,020633.9,+223854,5.03
α Ari,020710.4,+232745,2.00
  And,020829.3,+375133,4.82
β Tri,020932.6,+345914,3.00
  Ari,020925.3,+255623,4.98
  Tri,021222.3,+301811,4.94
  And,021313.3,+441354,4.83
     ,021336.3,+510357,5.31
η Ari,021248.1,+211239,5.27
ξ1Cet,021300.0,+085048,4.37
μ For,021254.5,-304326,5.28
  Tri,021556.2,+332132,5.28
δ Tri,021703.2,+341327,4.87
γ Tri,021718.9,+335050,4.01
  And,021916.8,+472248,5.30
φ Eri,021630.6,-513044,3.56
  Tri,021857.0,+283833,5.03
ο Cet,021920.7,-025839,3.04
  Per,022221.4,+555044,5.17
  Cet,022156.6,+002345,5.28
  Cet,022212.4,-005306,5.42
     ,022201.4,-104640,5.46
  And,022424.9,+500024,5.19
κ For,022232.6,-234859,5.20
  And,022537.4,+501643,4.71
ξ Ari,022449.0,+103638,5.47
δ Hyi,022144.9,-683934,4.09
ι Cas,022904.0,+672409,4.52
ρ Cet,022557.0,-121726,4.89
λ Hor,022453.9,-601843,5.35
κ Hyi,022252.3,-733845,5.01
  Tri,022810.0,+294010,5.29
ξ2Cet,022809.5,+082736,4.28
κ Eri,022659.1,-474214,4.25
φ For,022801.7,-334840,5.14
  Tri,023206.2,+360850,5.15
     ,023130.1,+021602,5.25
  Cet,023209.4,-010206,5.35
σ Cet,023205.2,-151441,4.75
     ,023802.0,+724906,5.16
ω For,023350.7,-281357,4.90
  Tri,023546.8,+344115,5.35
ν Cet,023552.5,+053536,4.86
     ,023702.5,+341550,5.30
ν Ari,023849.0,+215741,5.43
μ Hyi,023140.5,-790634,5.28
η Hor,023724.4,-523235,5.31
δ Cet,023929.0,+001943,4.07
ε Cet,023933.8,-115220,4.84
  Ari,024041.1,+270339,5.30
  Per,024214.9,+401138,4.91
     ,023948.0,-425330,4.75
ι Eri,024040.0,-395120,4.11
θ Per,024412.0,+491342,4.12
  Per,024405.2,+441749,5.43
  Ari,024327.1,+274226,4.66
ζ Hor,024039.6,-543300,5.21
γ Cet,024318.0,+031409,3.47
ε Hyi,023935.4,-681601,4.11
ι Hor,024233.5,-504801,5.41
π Cet,024407.4,-135131,4.25
  Ari,024457.6,+122645,5.18
μ Cet,024456.5,+100651,4.27
τ1Eri,024506.2,-183421,4.47
  Ari,024754.5,+291450,4.51
η Per,025041.8,+555344,3.76
π Ari,024917.5,+172751,5.22
ζ Hyi,024532.6,-673700,4.84
  Ari,024959.0,+271538,3.63
  Per,025035.1,+381907,4.23
β For,024905.4,-322421,4.46
  Per,025130.8,+350335,4.53
γ2For,024954.2,-275630,5.39
σ Ari,025129.6,+150455,5.49
τ2Eri,025102.3,-210015,4.75
η3For,025040.4,-354034,5.47
ν Hor,024901.5,-624824,5.26
τ Per,025415.5,+524545,3.95
  Per,025342.6,+382015,5.33
     ,025352.9,-495325,4.00
ν Hyi,025028.5,-750401,4.75
  Per,025717.3,+315603,5.11
η Eri,025625.7,-085353,3.89
     ,025637.4,-034244,5.17
π Per,025845.7,+393946,4.70
     ,030607.8,+792507,5.49
  Per,025903.7,+351059,4.93
  Eri,025723.7,-235143,5.45
     ,025949.9,+471315,5.47
ε Ari,025912.7,+212025,4.63
ε Ari,025912.7,+212025,4.63
     ,030052.2,+522106,5.28
     ,025842.0,-024657,5.23
λ Cet,025942.9,+085427,4.70
θ1Eri,025815.7,-401817,3.24
θ2Eri,025816.3,-401816,4.35
β Hor,025847.8,-640417,4.99
α Cet,030216.8,+040523,2.53
γ Per,030447.8,+533023,2.93
ρ2Eri,030242.3,-074107,5.32
     ,030532.4,+564221,4.76
τ3Eri,030223.5,-233728,4.09
ρ Per,030510.6,+385025,3.39
ρ3Eri,030416.4,-073603,5.26
     ,031156.3,+742337,4.87
μ Hor,030336.8,-594416,5.11
     ,030633.5,-060519,5.27
β Per,030810.1,+405720,2.12
ι Per,030904.0,+493648,4.05
κ Per,030929.8,+445126,3.80
ω Per,031117.4,+393642,4.63
δ Ari,031137.8,+194336,4.35
     ,032019.7,+774405,5.45
  Cet,031246.4,-011146,5.06
α For,031204.3,-285913,3.87
     ,031612.2,+505616,5.03
ζ Ari,031454.1,+210240,4.89
  Per,031747.4,+440130,5.47
ζ Eri,031550.0,-084911,4.80
     ,031959.4,+653908,4.84
  Per,031837.8,+501320,5.15
  Per,031907.6,+500542,5.03
     ,031843.8,+341322,4.82
  Cet,031822.4,-005549,5.38
  Eri,031822.1,-223041,4.88
κ1Cet,031921.7,+032213,4.83
     ,032020.4,+290254,4.47
  Per,032126.5,+431946,4.95
τ4Eri,031931.0,-214528,3.69
τ1Ari,032113.6,+210849,5.28
     ,031955.7,-430411,4.27
     ,032440.5,+643510,5.23
ζ2Ret,031812.9,-623023,5.24
     ,032313.2,+491248,5.29
τ2Ari,032245.2,+204431,5.09
α Per,032419.4,+495140,1.79
  Ari,032418.5,+244327,5.50
ο Tau,032448.8,+090144,3.60
     ,032803.1,+490346,4.98
     ,032904.1,+595625,4.21
ξ Tau,032710.2,+094358,3.74
     ,032954.9,+585243,4.54
  Per,032922.1,+493032,4.67
     ,033000.2,+552707,5.09
σ Per,033034.5,+475943,4.36
  Tau,033024.5,+112011,5.14
     ,033208.6,+480125,5.47
  Tau,033052.4,+125612,4.11
  Per,033226.3,+460325,5.31
  Eri,033037.1,-050431,4.73
κ Ret,032922.7,-625615,4.72
ε Eri,033255.8,-092730,3.73
ψ Per,033629.4,+481134,4.23
τ5Eri,033347.3,-213758,4.27
  Eri,033617.4,-172801,5.23
  Tau,033652.4,+002406,4.28
     ,034209.3,+631300,5.10
     ,033705.7,-401629,4.58
δ Per,034255.5,+474715,3.01
  Per,034222.5,+335754,4.97
     ,034602.3,+632042,4.80
ο Per,034419.1,+321718,3.83
δ For,034214.9,-315618,5.00
ν Per,034511.6,+423443,3.77
δ Eri,034314.9,-094548,3.54
     ,034913.8,+705216,5.44
  Tau,034448.2,+241722,5.46
  Tau,034452.5,+240648,3.70
     ,034250.1,-371849,4.59
  Tau,034512.5,+242802,4.30
  Eri,034430.5,-010947,5.25
γ Cam,035021.5,+711956,4.63
  Tau,034549.6,+242204,3.87
  Tau,034540.4,+060300,5.35
     ,034931.2,+653134,4.47
  Tau,034619.6,+235654,4.18
π Eri,034608.5,-120606,4.42
η Tau,034729.1,+240618,2.87
     ,034820.9,+232516,5.45
τ6Eri,034650.9,-231459,4.23
  Tau,034816.3,+110836,5.07
β Ret,034412.0,-644825,3.85
  Per,034932.6,+330529,5.11
  Tau,034909.7,+240312,3.63
  Tau,034911.2,+240812,5.09
τ7Eri,034739.6,-235229,5.24
     ,035018.9,+253446,5.26
     ,034835.4,-373720,5.40
     ,034835.9,-373714,4.73
     ,034927.3,-361201,4.17
  Eri,035241.6,-052141,5.48
ζ Per,035407.9,+315301,2.85
     ,035725.5,+630420,5.03
     ,035708.3,+610632,5.00
     ,035558.2,+475217,5.37
γ Hyi,034714.3,-741420,3.24
  Per,035636.5,+504143,5.28
  Eri,035417.5,-025717,4.79
τ8Eri,035342.6,-243645,4.65
     ,035338.9,-344356,5.11
     ,035628.7,+350452,5.49
ε Per,035751.2,+400037,2.89
ξ Per,035857.9,+354728,4.04
     ,041002.8,+804155,5.10
γ Eri,035801.8,-133031,2.95
λ Tau,040040.8,+122925,3.47
τ9Eri,035955.5,-240059,4.66
     ,040427.2,+590920,5.06
  Eri,040132.0,-013259,5.28
δ Ret,035844.7,-612401,4.56
     ,040236.7,-001608,5.38
ν Tau,040309.4,+055921,3.91
  Tau,040421.7,+240621,5.47
  Tau,040344.6,+052608,5.33
     ,040356.6,+081150,5.46
  Tau,040441.7,+220455,4.36
     ,040409.9,+024937,5.36
λ Per,040635.0,+502105,4.29
γ Ret,040053.8,-620934,4.51
ι Ret,040118.2,-610444,4.97
  Tau,040636.4,+273600,5.20
